NAV Date,NAV (Rs)
27-04-2023,82.663
26-04-2023,82.304
25-04-2023,82.044
24-04-2023,82.17
21-04-2023,81.669
20-04-2023,81.84
19-04-2023,81.801
18-04-2023,81.911
17-04-2023,82.015
13-04-2023,82.333
12-04-2023,82.326
11-04-2023,82.09
10-04-2023,81.76
06-04-2023,81.589
05-04-2023,81.322
03-04-2023,81.062
31-03-2023,80.837
29-03-2023,79.709
28-03-2023,79.03
27-03-2023,79.134
24-03-2023,79.228
23-03-2023,80.014
22-03-2023,80.265
21-03-2023,80.093
20-03-2023,79.571
17-03-2023,80.211
16-03-2023,79.793
15-03-2023,79.775
14-03-2023,80.038
13-03-2023,80.408
10-03-2023,81.63
09-03-2023,82.33
08-03-2023,82.819
06-03-2023,82.606
03-03-2023,82.081
02-03-2023,81.402
01-03-2023,81.851
28-02-2023,81.184
27-02-2023,81.29
24-02-2023,81.819
23-02-2023,82.127
22-02-2023,82.15
21-02-2023,83.139
20-02-2023,83.274
17-02-2023,83.477
16-02-2023,83.918
15-02-2023,83.594
14-02-2023,83.205
13-02-2023,83.016
10-02-2023,83.572
09-02-2023,83.548
08-02-2023,83.484
07-02-2023,82.79
06-02-2023,83.011
03-02-2023,83.082
02-02-2023,82.48
01-02-2023,82.388
31-01-2023,82.561
30-01-2023,81.702
27-01-2023,81.557
25-01-2023,82.755
24-01-2023,83.9
23-01-2023,84.067
20-01-2023,83.748
19-01-2023,84.07
18-01-2023,84.162
17-01-2023,83.811
16-01-2023,83.61
13-01-2023,83.936
12-01-2023,83.569
11-01-2023,83.559
10-01-2023,83.621
09-01-2023,84.295
06-01-2023,83.294
05-01-2023,83.846
04-01-2023,83.625
03-01-2023,84.459
02-01-2023,84.281
30-12-2022,83.835
29-12-2022,83.967
28-12-2022,83.576
27-12-2022,83.613
26-12-2022,82.987
23-12-2022,81.37
22-12-2022,83.301
21-12-2022,83.954
20-12-2022,85.085
19-12-2022,85.239
16-12-2022,84.754
15-12-2022,85.657
14-12-2022,86.575
13-12-2022,86.287
12-12-2022,85.705
09-12-2022,85.487
08-12-2022,86.043
07-12-2022,85.291
06-12-2022,85.67
05-12-2022,86
02-12-2022,85.902
01-12-2022,85.98
30-11-2022,85.5
29-11-2022,84.929
28-11-2022,84.919
25-11-2022,84.606
24-11-2022,84.337
23-11-2022,83.823
22-11-2022,83.577
21-11-2022,83.23
18-11-2022,83.441
17-11-2022,83.708
16-11-2022,83.968
15-11-2022,84.302
14-11-2022,83.825
11-11-2022,83.878
10-11-2022,83.319
09-11-2022,84.071
07-11-2022,84.594
04-11-2022,83.72
03-11-2022,83.834
02-11-2022,83.696
01-11-2022,83.986
31-10-2022,83.257
28-10-2022,82.086
27-10-2022,82.272
25-10-2022,81.67
21-10-2022,80.583
20-10-2022,80.472
19-10-2022,80.356
18-10-2022,80.438
17-10-2022,79.615
14-10-2022,78.875
13-10-2022,78.539
12-10-2022,79.109
11-10-2022,78.635
10-10-2022,79.728
07-10-2022,80.1
06-10-2022,80.282
04-10-2022,79.706
03-10-2022,78.139
30-09-2022,79.149
29-09-2022,77.792
28-09-2022,77.572
27-09-2022,77.93
26-09-2022,77.823
23-09-2022,79.559
22-09-2022,81.159
21-09-2022,81.22
20-09-2022,81.941
19-09-2022,80.775
16-09-2022,80.466
15-09-2022,82.535
14-09-2022,82.572
13-09-2022,82.556
12-09-2022,82.11
09-09-2022,81.322
08-09-2022,81.071
07-09-2022,80.337
06-09-2022,80.311
05-09-2022,80.182
02-09-2022,79.584
01-09-2022,79.717
30-08-2022,79.904
29-08-2022,78.182
